,source,sentence1,sentence2,labels.label
242,korsts_train,한 여성이 남자와 게임을 하고 있다.,한 남자가 피아노를 치고 있다.,1.9
251,korsts_train,한 소녀가 플루트를 연주하고 있다.,한 밴드가 무대에서 연주하고 있다.,2.2
257,korsts_train,세 명의 십대 소녀들이 그 방에서 춤을 추었다.,일부 십대 소녀들이 카메라를 위해 춤을 추고 있다.,1.9
258,korsts_train,사자가 걷고 있다.,사자가 펜으로 서성거리고 있다.,1.8
263,korsts_train,한 남자가 길을 걸어 내려간다.,한 남자가 꽉 끼는 밧줄을 가로질러 걸어간다.,2.0
264,korsts_train,남자가 감자를 자르고 있다.,여자가 할레페노를 자르고 있다.,2.4
265,korsts_train,개가 공을 향해 짖고 있다.,개는 테니스 공을 보고 헤엄친다.,2.1
266,korsts_train,한 아이가 낚시대 위에서 빙빙 돌고 있는 물고기에게서 도망친다.,어린 아이가 낚싯대를 돌고 있다.,1.9
269,korsts_train,느린 동작으로 말을 타는 남자,남자가 말을 타고 있다.,2.3
278,korsts_train,한 남자가 천장에 부착된 밧줄에서 흔들리고 있다.,남자가 밧줄을 타고 스윙하고 있다.,2.0
285,korsts_train,두 얼룩말이 놀고 있다.,얼룩말은 사교를 하고 있다.,2.7
286,korsts_train,한 여성이 버터를 썰고 있다.,여자가 두부를 썰다.,3.2
287,korsts_train,몇몇 남자들이 기타를 치고 있다.,세 남자가 기타를 치고 함께 노래를 부르고 있다.,2.8
298,korsts_train,한 여성이 사랑스러운 군중 앞에서 코끼리를 탄다.,한 여성이 코끼리를 탄다.,2.9
299,korsts_train,강아지가 바닥을 따라 뒤로 미끄러져 가고 있다.,강아지가 뒤로 밀고 있다.,2.8
305,korsts_train,한 남자가 컴퓨터 모니터를 보고 있다.,한 남자가 노트북을 사용하고 있다.,2.7
307,korsts_train,두 남자가 타이어 롤링 경주에서 경쟁한다.,두 사람이 경주에서 트랙터 타이어를 뒤집었다.,2.3
313,korsts_train,원숭이가 개 꼬리를 당긴다.,원숭이가 동물원에서 개를 놀리고 있다.,2.2
314,korsts_train,개가 나무 바닥에 등을 대고 누워 있다.,개가 바닥에 누워 있다.,2.9
322,korsts_train,남자가 풀을 깎고 있다.,남자가 콘크리트를 깨고 있다.,2.9
325,korsts_train,사람들은 수영장으로 휙 들어간다.,남자들이 수영장에 빠지고 있다.,2.1
328,korsts_train,비행기가 공중에서 날고 있다.,남아프리카공항의 비행기가 푸른 하늘을 날고 있다.,2.3
329,korsts_train,곰이 두 마리의 개로부터 달려오고 있다.,곰이 늑대와 싸우고 있다.,2.0
338,korsts_train,그 어린 소녀는 개와 공을 가지고 잔디 위에서 놀았다.,아기는 개와 공을 가지고 놀아요.,2.7
350,korsts_train,너구리가 먹고 있다.,남자가 먹고 있다.,2.1
351,korsts_train,누군가 말에서 떨어졌다.,한 남자가 말에서 떨어져 쓰러진다.,3.2
363,korsts_train,그 어린 소년은 노래를 부르고 기타를 연주하고 있다.,아기가 기타를 치고 있다.,3.2
368,korsts_train,한 노파가 남자와 악수를 하고 있다.,남자와 여자는 악수를 한다.,3.0
370,korsts_train,나무들이 폭풍우에 휘어지고 있다.,나무들은 매우 강한 바람에 의해 강타 당한다.,2.9
373,korsts_train,한 남자가 피아노를 친다.,한 여성이 바이올린을 연주하고 있다.,2.2
380,korsts_train,두 남자가 싸우고 있다.,두 남자가 무술의 한 형태를 사용하여 싸우고 있다.,2.4
382,korsts_train,남자가 닭고기를 용기에 넣고 있다.,한 남자가 상자에 음식을 넣고 있다.,2.8
383,korsts_train,한 남자가 속기사 기계에 묶고 있다.,그 남자는 속기사를 사용했다.,2.5
388,korsts_train,남자가 누군가를 안고 있다.,남자가 사진을 찍고 있다.,1.8
389,korsts_train,누군가가 냄비에 내화물을 부어 넣고 있다.,한 남자가 냄비에 야채를 넣는다.,2.6
392,korsts_train,사람이 팬에 음식을 넣고 있다.,한 여성이 쌀을 팬에 넣는다.,2.3
396,korsts_train,한 남자가 부엌 싱크대 위로 용기를 흔들고 있다.,남자가 플라스틱 용기를 비우고 있다.,2.0
397,korsts_train,남자가 말과 함께 걷고 있다.,한 남자가 말의 정지선 옆을 지나가고 있다.,2.5
398,korsts_train,종이는 가위로 자르고 있다.,종이 한 장이 잘리고 있다.,2.6
402,korsts_train,개는 개 꼬리를 당기고 다리는 당겼다.,원숭이가 개 꼬리를 잡아당겼다.,3.0
408,korsts_train,여자가 뭔가를 요리하고 있다.,한 여성이 프라이팬에 재료를 붓고 있다.,1.8
412,korsts_train,한 남자가 몸을 일으켜 회색 유튜브 티셔츠에 대해 이야기하고 있다.,남자가 티셔츠를 보여주고 있다.,1.8
413,korsts_train,누군가 토마토 쐐기 그릇에 올리브유를 부어 넣는다.,그 남자는 토마토 조각에 기름을 부었다.,2.3
414,korsts_train,남자가 기타를 치고 있다.,그 남자는 친구와 기타를 연주했다.,3.2
418,korsts_train,여자가 기름을 양념하고 있다.,여자가 그릇에 재료를 붓고 있다.,2.4
419,korsts_train,고양이가 소파 밑에서 거꾸로 미끄러져 내리고 있다.,고양이 한 마리가 등 위에 있는 가구 밑으로 기어가고 있다.,2.1
420,korsts_train,남자가 키보드를 연주하는 동안 한 여성이 춤을 춘다.,한 여성이 무대에서 춤을 추고 있다.,2.1
428,korsts_train,거북이가 물고기를 따라갔다.,바다거북이 물고기를 사냥하고 있다.,2.7
429,korsts_train,여자가 아이섀도우에 연필을 꽂고 있다.,소녀는 눈꺼풀에 아이펜슬을 쓰고 있다.,2.2
433,korsts_train,한 남자가 묶인 개를 쓰다듬고 있다.,한 남자가 개를 카메라에 보여주고 있다.,2.5
434,korsts_train,어떤 여성이 다른 개들이 그들을 따라가면서 애완견과 함께 열린 땅 위를 걷고 있다.,한 남자가 개 몇 마리와 함께 걷고 있다.,2.0
440,korsts_train,한 커플이 바다를 향해 달리고 있다.,한 남자와 여자가 손을 잡고 함께 달리고 있다.,1.8
443,korsts_train,고양이가 개를 만지려고 하고 있다.,고양이는 그의 머리를 만져서 개를 놀렸다.,2.7
457,korsts_train,그 소녀는 언덕을 뛰어 올라가는 동안 연을 날렸다.,한 소녀가 연을 잃어버렸다.,2.1
459,korsts_train,작은 원숭이가 물을 걸어서 지나간다.,원숭이가 습지를 가로질러 걷고 있다.,2.5
470,korsts_train,한 여성이 감자를 썰고 있다.,한 여성이 두부를 작은 조각으로 자른다.,1.8
474,korsts_train,자리에 앉은 남자가 기타를 치고 있다.,한 남자가 어쿠스틱 기타를 연주하고 마이크로 노래를 부르고 있다.,1.8
476,korsts_train,기수가 달려가서 말을 뛰어넘고 있다.,여자가 말에서 뛰어내린다.,2.1
477,korsts_train,소년이 키보드를 연주하고 있다.,한 소년이 램프 불빛으로 피아노를 치며 방에 앉아 있다.,2.1
478,korsts_train,두 남자가 싸우고 있다.,남자가 운동을 하고 있다.,1.9
482,korsts_train,고슴도치는 수건을 씹었다.,고슴도치가 담요를 물고 있다.,2.2
484,korsts_train,작은 기니피그가 마루에서 당근 한 조각을 갉아먹고 있다.,기니피그는 당근을 먹는다.,2.1
485,korsts_train,네 명의 소년들이 불타는 차 앞에 서 있다.,차 한 대가 그들 뒤에서 폭발하면서 네 명의 젊은이가 가만히 서 있다.,2.6
486,korsts_train,남자가 담배를 피우고 있다.,남자는 양복 차림으로 담배를 피웠다.,3.1
495,korsts_train,남자와 여자가 서로 키스하고 있다.,남자와 여자가 서로 이야기를 나누고 있다.,3.1
499,korsts_train,남자가 감자를 자르고 있다.,한 여성이 토마토를 자르고 있다.,2.5
503,korsts_train,남자가 기타를 치고 있다.,남자가 플루트를 연주하고 있다.,2.7
517,korsts_train,한 여성이 개구리를 다루고 있다.,남자가 개구리를 안고 있다.,3.1
518,korsts_train,남자가 플루트를 연주하고 있다.,남자가 기타를 치고 있다.,2.9
519,korsts_train,남자가 기타를 치고 있다.,남자가 플루트를 연주하고 있다.,2.7
522,korsts_train,남자가 플루트를 연주하고 있다.,남자가 기타를 치고 있다.,2.9
523,korsts_train,남자가 플루트를 연주하고 있다.,남자가 기타를 치고 있다.,2.9
537,korsts_train,남자가 감자를 자르고 있다.,한 여성이 감자 껍질을 벗기고 있다.,2.5
540,korsts_train,남자가 담배를 피우고 있다.,남자가 섞이고 있다.,2.2
543,korsts_train,여자가 새는 것을 자르고 있다.,한 여성이 부추를 자르고 있다.,3.0
561,korsts_train,한 남자가 여자와 이야기를 하고 있다.,한 여성이 개와 함께 걷고 있다.,2.0
563,korsts_train,누군가가 프라이팬에 기름을 부어 넣고 있다.,누군가가 믹서기에 우유를 부어 넣고 있다.,2.7
567,korsts_train,한 남자가 피아노 두 개를 연주하고 있다.,고양이가 피아노를 치고 있다.,2.5
576,korsts_train,남자가 기도하고 있다.,남자가 달리고 있다.,3.2
581,korsts_train,한 여성이 감자 껍질을 벗기고 있다.,한 여성이 토마토를 자르고 있다.,2.8
583,korsts_train,누군가가 감자 껍질을 벗기고 있다.,누군가가 토마토를 자르고 있다.,2.3
584,korsts_train,한 여성이 감자 껍질을 벗기고 있다.,한 여성이 토마토를 자르고 있다.,2.8
586,korsts_train,소파에 앉아 있는 두 소년이 비디오 게임을 하고 있다.,두 소년이 비디오 게임을 하고 있다.,3.1
590,korsts_train,한 소녀가 머리를 스타일링하고 있다.,한 소녀가 손톱을 다듬고 있다.,1.9
593,korsts_train,남자가 기타를 치고 있다.,한 여성이 일렉트릭 기타를 연주하고 있다.,2.8
595,korsts_train,남자가 빗속을 걷고 있다.,한 남자와 여자가 그랜드를 걷고 있다.,3.0
606,korsts_train,남자가 총을 쏘고 있다.,남자가 빵을 자르고 있다.,2.1
610,korsts_train,아기 코끼리가 먹고 있다.,새끼 코끼리는 묘목을 먹는다.,2.7
617,korsts_train,한 여성이 마늘을 썰고 있다.,한 여성이 큰 후추를 자르고 있다.,2.5
622,korsts_train,그 남자는 다른 남자가 보드에 가지고 있던 것을 지웠다.,그 남자는 판자 위의 일을 지웠다.,1.8
631,korsts_train,남자가 달리고 있다.,남자가 뚱해하고 있다.,2.8
643,korsts_train,한 동물이 땅 위를 걷고 있다.,솔레노돈이 땅 위를 걷고 있다.,2.9
645,korsts_train,춤추는 사람들 무리,한 무리의 남자들이 춤을 추고 있다.,2.0
646,korsts_train,남자가 기타를 연주한다.,한 여성이 기타를 치고 있다.,3.1
647,korsts_train,고양이가 천장 선풍기를 흔들고 있다.,고양이는 천장 팬에 의해 빙빙 돌고 있다.,3.1
663,korsts_train,한 남자가 바나나를 먹고 있다.,누군가가 바나나 껍질을 벗기고 있다.,2.3
664,korsts_train,남자들이 무대에서 공연을 하고 있다.,무대에서 공연된 코미디 밈,2.4
665,korsts_train,만화 속의 여자가 수영장으로 뛰어들었다.,만화 속의 여자가 보드에서 다이빙을 하고 있다.,1.8
669,korsts_train,한 여성이 그릇에 재료를 넣고 있다.,한 여성이 그릇에 달걀 세 개를 썰고 있다.,2.3
672,korsts_train,남자가 기타를 치고 있다.,모자를 쓴 남자가 하프를 연주하고 있다.,1.9
673,korsts_train,한 남자가 키보드를 가지고 놀고 있다.,남자가 기타를 치고 있다.,2.3
676,korsts_train,두 남자가 춤을 추고 있다.,두 여자가 쇼핑을 하고 있다.,2.5
685,korsts_train,한 여성이 편지를 쓰고 있다.,한 여성이 책상에 앉아 있다.,2.0
689,korsts_train,안경 쓴 남자가 이야기를 하고 있다.,도서관에 있는 한 남자가 이야기를 하고 있다.,2.1
694,korsts_train,동물이 먹고 있다.,동물이 뛰어오르고 있다.,3.2
696,korsts_train,남자가 버스를 타고 달리고 있다.,한 남자가 트럭을 몰고 달려간다.,3.1
698,korsts_train,고양이가 피아노를 치고 있다.,고양이가 발을 핥고 있다.,2.2
700,korsts_train,남자들이 경주를 하고 있다.,경주자들이 트랙을 달리고 있다.,2.9
707,korsts_train,여자가 스쿼시를 자르고 있다.,여자가 큰 후추를 자르고 있다.,2.7
710,korsts_train,누군가가 동물을 청소하고 있다.,한 여성이 새우를 청소하고 있다.,2.5
713,korsts_train,누워서 총을 쏘는 남자,한 남자가 바닥에 누워 소총을 쏘고 있다.,2.8
722,korsts_train,남자가 잔디를 깎고 있다.,남자가 섞이고 있다.,1.9
725,korsts_train,한 여성이 발레를 하고 있다.,여자가 말을 타고 있다.,2.2
732,korsts_train,남자가 채소를 자르고 있다.,한 여성이 감자를 자르고 있다.,3.1
740,korsts_train,"한 여성이 공중에 고양이를 던지고, 고양이는 천장에 있는 막대기에 매달려 있습니다.",사람이 고양이를 공중에 던지면 그것은 천장을 움켜잡는다.,2.8
742,korsts_train,남자가 깃발을 태우고 있다.,남자가 총을 쏘고 있다.,2.7
746,korsts_train,한 남자가 종이 접시에 종이 타월 두 개를 놓고 있다.,남자가 접시에 종이를 올려놓고 있다.,2.7
754,korsts_train,한 여성이 양파를 자르고 있다.,레몬을 썰고 있는 여자들,1.8
759,korsts_train,남자가 요리를 위해 뱀을 자르고 있다.,여자가 고기를 자르고 있다.,3.0
761,korsts_train,남자와 여자는 볼리우드 춤이다.,한 남자가 비 속에서 춤을 추고 있다.,1.8
765,korsts_train,사자가 밀폐된 지역을 걷고 있다.,사자가 주위를 돌아다니고 있다.,2.8
770,korsts_train,한 여성이 밀가루로 고기 한 조각을 덮는다.,한 여성이 고기 한 조각을 양념하고 있다.,2.5
771,korsts_train,작은 나무 캐비닛에 앉은 흰 고양이가 창문 밖을 바라보고 있습니다.,테이블 위에 앉아 있는 고양이가 창밖을 내다보고 있다.,2.6
773,korsts_train,남자가 감자를 자르고 있다.,남자가 바나나 껍질을 벗기고 있다.,2.4
775,korsts_train,여자가 남자에게 화장을 하고 있다.,한 여성이 남자의 얼굴을 그리고 있다.,3.1
776,korsts_train,그 여자는 가지를 팬에 떨어뜨렸다.,한 여성이 잘게 썬 가지를 프라이팬에 넣는다.,2.6
778,korsts_train,한 여성이 레몬을 썰고 있다.,한 여성이 부엌에서 레몬 껍질을 벗긴다.,2.3
780,korsts_train,한 남자가 매달린 밧줄을 준비하고 있다.,남자가 올가미를 묶고 있다.,2.5
783,korsts_train,사람이 튀기고 있다.,사람이 감자 껍질을 벗기고 있다.,2.1
786,korsts_train,한 남자가 밖으로 나가고 있다.,남자가 춤을 추고 있다.,1.9
788,korsts_train,한 축구선수가 경기장을 한참 내려가서 골대로 축구공을 차 넣고 있다.,축구선수가 골을 넣으며 공을 차는 것이다.,2.5
790,korsts_train,남자가 몇 개의 그림을 그리고 있다.,한 남자가 디지털 건식 지우개에 그림을 그리고 있다.,1.9
792,korsts_train,몇몇 어린이들이 트램폴린을 타고 뛰어오르고 있습니다.,두 소년이 트램폴린을 타고 놀고 있다.,2.8
793,korsts_train,칼을 든 여자가 후추를 자르고 있다.,여자는 녹색 후추를 썰었다.,2.9
796,korsts_train,한 소년이 키보드를 켰다.,한 사람이 피아노 키보드를 연주하고 있다.,2.6
799,korsts_train,사람들은 그 인형을 절벽 가장자리에 던졌다.,몇몇 사람들은 절벽에서 더미를 던지고 있다.,2.6
810,korsts_train,한 남자가 피아노를 치고 있다.,누군가 기타를 치고 있다.,2.8
814,korsts_train,한 남자가 오토바이를 타고 한 바퀴를 타고 있다.,사람이 오토바이에서 트릭을 하고 있다.,2.2
815,korsts_train,고양이가 서랍을 열고 안으로 올라간다.,큰 고양이가 발로 비닐 서랍을 열고 안으로 뛰어든다.,2.8
819,korsts_train,강아지는 등에 업혀서 좌우로 반복적으로 굴러가고 있다.,개가 좌우로 구르고 있다.,3.2
830,korsts_train,토끼가 코를 킁킁거리며 박제된 토끼를 발로 젓고 있다.,살아있는 토끼가 박제된 동물 토끼와 놀고 있다.,2.6
834,korsts_train,한 남자가 피자 상자에서 페퍼로니 피자 조각을 꺼내서 상자를 닫은 후에 뚜껑에 넣습니다.,그 남자는 상자에서 페퍼로니 피자 한 조각을 꺼냈다.,2.8
835,korsts_train,그 남자는 냄비에 있는 국물에 채소를 첨가했다.,한 남자가 얇게 썬 야채를 물과 함께 요리 그릇에 넣고 있다.,1.9
836,korsts_train,남자가 달려가 벽에 부딪쳤다.,한 남자가 벽으로 뛰어든다.,3.0
838,korsts_train,광대가 노래를 부르고 사람들이 춤을 추고 있다.,광대가 노래를 부르고 있다.,3.1
840,korsts_train,사람이 스테이크에 물을 헹구고 있다.,남자가 커다란 스테이크를 헹구고 있다.,2.6
846,korsts_train,테이블 위에 서 있는 큰 새는 액체가 들어 있는 플라스틱 유리를 집어서 무언가의 그릇에 넣는다.,새는 부리가 들어있는 액체가 들어있는 플라스틱 컵을 집어서 그릇에 넣습니다.,2.9
851,korsts_train,사람이 파도 속에서 제트스키를 타고 있다.,한 여성이 바다를 타고 있다.,2.6
855,korsts_train,남자가 그릇에 칠리를 부어 넣고 있다.,한 남자가 캔을 열고 내용물을 그릇에 부어 넣는다.,2.7
856,korsts_train,새는 그릇에서 나무에 있는 음식을 먹었다.,새가 그릇에서 먹고 있다.,3.0
865,korsts_train,남자가 빵을 자르고 있다.,남자가 냄비를 깨고 있다.,1.9
872,korsts_train,그물로 배구를 하는 여자,"한 여성은 배구를 다른 여성에게 건네주는데, 다른 여성은 배구를 한다.",2.0
874,korsts_train,한 남자가 전자 키보드를 연주하고 있다.,악단은 악기를 연주하고 있다.,1.9
876,korsts_train,한 남자가 칼을 사용하여 빈 가죽 부츠의 발가락을 절단한다.,남자가 검으로 부츠를 자르고 있다.,2.7
877,korsts_train,그 사람은 물고기에서 비늘을 제거하고 있다.,사람이 물고기를 멸망시키고 있다.,2.3
882,korsts_train,그 남자는 물속으로 밀려 들어갔다.,한 남자가 다른 사람을 바다로 밀어 넣는다.,2.9
886,korsts_train,한 여성이 얼굴에 화장품을 바르고 있다.,한 여성이 화장을 하고 있다.,3.2
887,korsts_train,그 남자는 바벨을 들었다.,남자는 역기를 들어 올린다.,2.8
889,korsts_train,몇몇 흰 족제비들이 우리에서 기어 나온다.,흰 족제비들은 선반에서 내려온다.,2.6
892,korsts_train,한 사람이 콩과 함께 칠리에 칠리 가루를 첨가하고 있다.,남자가 콩에 양념을 첨가하고 있다.,2.1
896,korsts_train,한 여성이 춤추는 아기를 안고 있다.,한 여성이 아이를 학대하고 있다.,2.5
898,korsts_train,그 여자는 소스에 치즈를 첨가했다.,한 남자가 소스 냄비에 치즈 조각을 붓는다.,2.6
899,korsts_train,한 남자가 연단에 대한 강의를 하고 있다.,한 남자가 크리켓 경기를 축하하는 행사에서 강연을 하고 있다.,1.8
901,korsts_train,한 여성이 마늘을 자르고 있다.,여자가 생선을 잘랐다.,2.7
904,korsts_train,한 소년이 낚싯줄에서 달아난다.,한 소년이 낚싯대에 매달린 물고기 앞에서 달리고 있다.,2.6
907,korsts_train,고기는 팬에 떨어집니다.,한 여성이 팬에 고기를 넣고 있다.,2.1
923,korsts_train,그 남자는 기타를 연주했다.,한 남자가 기타를 연주하면서 노래를 부르고 있다.,3.1
924,korsts_train,몇몇 남자들이 도로에서 스케이트를 타고 있다.,두 소년이 스케이트 탑승을 하고 있다.,2.4
931,korsts_train,그 남자는 무대에서 마이크에 대고 노래를 불렀다.,양복을 입은 남자가 마이크 앞에 서서 노래를 부르고 있다.,2.7
932,korsts_train,차가 공간에서 뒤로 물러난다.,차가 후진하고 있다.,1.8
935,korsts_train,그 남자는 오토바이를 타고 고속도로를 내려갔다.,사람이 도로에서 오토바이를 운전하고 있다.,3.1
938,korsts_train,여자들이 앉아 있다.,두 여자가 서로 가까이 앉아서 이야기를 나누고 있다.,2.6
941,korsts_train,남자가 명상을 하고 있다.,남자가 말을 타고 있다.,2.4
945,korsts_train,축구선수는 공을 다리 사이로 좌우로 차 버렸다.,한 사람이 발 사이에서 축구공을 앞뒤로 걷어차고 있다.,2.6
951,korsts_train,한 남자가 물속으로 나오고 있다.,늪에서 한 남자가 솟아난다.,2.8
953,korsts_train,한 남자가 긴 빗자루를 사용하여 집 바닥을 쓸고 있다.,남자가 빈 거실을 쓸었다.,1.8
961,korsts_train,사람은 달걀을 작은 그릇에 부수고 갑니다.,남자가 달걀을 깨뜨린다.,2.3
963,korsts_train,개가 마당을 뛰어다니고 있다.,검은 애완견이 집 정원에서 뛰어다닌다.,2.7
964,korsts_train,지프차가 차를 세우자 한 아이가 거리를 걷고 있다.,한 여성이 길을 따라 걷고 있고 자동차를 탄 남자가 그녀 옆에 차를 세운다.,2.6
966,korsts_train,그 소녀는 모닥불 앞에서 춤을 추었다.,한 여성이 모닥불 근처에 서 있는 음악에 맞춰 춤을 추고 있다.,2.5
968,korsts_train,한 소녀가 개에게 질질 끌려가고 있다.,개가 아이를 언덕 아래로 끌고 가고 있다.,2.3
969,korsts_train,남자는 이야기하는 동안 선글라스를 벗었다.,경모를 쓴 남자가 말하는 동안 안경을 벗는다.,3.1
971,korsts_train,소녀가 침대를 정리하고 있다.,한 여성이 침대를 만들고 있다.,2.7
973,korsts_train,남자는 다른 남자의 콘크리트 블록을 부수기 위해 썰매를 사용하고 있다.,한 남자가 썰매 망치로 쓰러진 남자 위에 누워 있는 콘크리트 판을 부수고 있다.,2.8
977,korsts_train,두 명의 아이들이 녹색 악어 플로트를 가지고 수영장에서 놀고 있다.,두 명의 아이들이 수영장에서 부풀릴 수 있는 악어를 밀고 다닌다.,2.4
983,korsts_train,여자는 달걀을 삶는다.,한 여성이 물 냄비에 달걀 두 개를 넣는다.,1.9
986,korsts_train,한 소녀가 버터를 두 조각으로 자르고 있다.,한 여성이 두부를 자르고 있다.,2.9
989,korsts_train,한 소녀가 기타를 치고 있다.,소년이 사람들 사이에 키보드를 치고 있다.,2.2
1001,korsts_train,의자 밑에 눈부신 빛을 발하는 작은 하얀 고양이가 서 있었다.,하얀 고양이가 바닥에 서 있다.,2.3
1002,korsts_train,마리나의 물속에 있는 큰 배,바다에 있는 큰 배,2.3
1005,korsts_train,식탁에 앉아 노트에 글을 쓰고 있는 한 여성.,테이블에 앉아 있는 여자는 뭔가로 바쁘다.,2.1
1006,korsts_train,바닥에 놓인 사과 컴퓨터.,마룻바닥에 놓인 매킨토시 컴퓨터,2.1
1007,korsts_train,갈색말의 머리를 클로즈업한 것,말의 머리를 보는 측면,1.9
1013,korsts_train,노란 꽃 앞에 서 있는 검은 개,들판에 서 있는 검은 개,2.0
1016,korsts_train,양들이 들판에 서 있다.,들판에서 풀을 뜯는 양,2.9
1017,korsts_train,눈 감고 있는 갈망하는 머리 고양이,눈을 감은 고양이의 클로즈업,2.6
1024,korsts_train,음식이 있는 테이블 주위에 앉아 있는 사람들,한 무리의 사람들이 음식과 맥주를 들고 테이블 주위에 앉아 있다.,2.3
1031,korsts_train,빨간 더블 데커 버스가 거리를 지나고 있다.,교통이 혼잡한 더블 데커 여객 버스.,1.8
1033,korsts_train,들판에 양 떼가 있다.,들판에서 풀을 뜯는 말 무리,1.9
1035,korsts_train,컴퓨터 모니터가 설치된 매우 붐비는 사무실 책상.,모니터가 두 개 있는 지저분한 컴퓨터 책상,2.4
1039,korsts_train,두 사람이 식당의 테이블에 앉아 있다.,네 사람이 테이블에 앉아 있다.,3.1
1040,korsts_train,맥주를 들고 웃고 있는 한 여성이 다른 웃고 있는 여자와 밖에 앉아 있다.,밖에 앉아 웃고 있는 두 여자.,2.0
1043,korsts_train,소파에 앉아 있는 두 남자의 맞은편에 누워 있는 한 여성.,파란색 소파에 앉아 카메라를 보고 웃고 있는 남자와 여자 두 명이 있다.,1.9
