,sentence1,sentence2,labels.label
204,앞뒤를 잘 살피고 분위기 파악을 잘 하세요.,주변 분위기를 잘 살피도록 하세요.,3.1
213,특히 다른 사람의 일에 끼어들거나 참견하지 마세요.,56년생 - 다른 사람의 일에 끼어들지 마세요.,2.7
214,이후 질병관리본부는 역학조사를 통해 신생아들이 시트로박터균에 감염된 경로를 추적했다.,이후 질병관리본부가 균 감염 경로를 추적해 사망 원인이 드러난 겁니다.,2.4
215,오늘은 푹 쉬면서 기분 전환을 하는 것이 좋습니다.,오늘은 푹 쉬는 것이 좋아요.,3.2
217,모토로라는 모듈형 스마트폰 모토모즈를 선보였다.,레노버가 인수한 모토로라는 조립형 스마트폰인 ‘모토모즈’를 MWC에서 공개했다.,2.6
219,머리 쓰는 일은 다음으로 미루는 것이 좋습니다.,잘 풀리지 않는 일은 미루는 것이 좋습니다.,2.6
220,TV·VTR 시장도 성장해 서울 가구당 보급률은 1981년 0.18대에서 1989년 1.04대로 크게 늘었다.,1981년 가구당 TV 보급률은 0.18이었으나 1989년 1.04로 크게 올랐다.,3.0
221,판매가는 79유로(한화 약 10만5000원) 정도로 저렴하다.,5월부터 판매되며 가격은 79유로(약 10만 4000원)이다.,3.1
223,서두르면 스타일만 구길 수 있어요.,서두르다가 돌부리에 걸려 넘어질 수 있어요.,1.8
225,금전 때문에 구설이 따르기 쉬운 날입니다.,구설이나 관재를 조심해야 하는 날입니다.,2.4
228,너무 욕심내지 말고 순리대로 끌고 가세요.,너무 큰 것을 바라거나 욕심내지 마세요.,2.4
229,미투보다 그 이후가 더 중요하다”는 말로 방송을 마무리했다.,미투가 근본적인 변화를 일으키기 위해서는 그 이후가 더 중요하다”는 말로 마무리했다.,2.9
230,검찰은 다음 달 중으로 이 전 대통령을 소환 조사할 방침인 것으로 알려졌다.,검찰은 다음 달 초 그를 피의자로 불러 조사하는 방안을 유력하게 검토 중이다.,3.2
232,다행히 이 사고로 인한 인명피해는 없다고 소방 관계자는 전했다.,다행히 인명피해는 없는 것으로 파악됐다.,2.7
233,다행히 인명피해는 없는 것으로 파악됐다.,다행히 이 사고로 인한 인명피해는 없다고 소방 관계자는 전했다.,2.7
235,[뉴스1] 신연희 서울 강남구청장이 28일 구속됐다.,신 구청장은 구청 돈을 빼돌린 혐의 등으로 28일 구속됐다.,2.8
236,한국과도 인연이 깊다.,헝가리 쇼트트랙 대표팀은 한국과 인연이 깊다.,2.2
239,이에 따라 경찰은 진행 중이던 내사를 종결했다.,검찰이 직접 수사에 들어감에 따라 경찰이 진행하던 내사는 종결됐습니다.,2.6
240,오늘 저로 인해 피해를 당하신 분의 소식을 들었습니다.,윤 대표는 “오늘 저로 인해 피해를 당하신 분의 소식을 들었습니다.,3.1
251,윗사람에게 인정을 받게 되는 날입니다.,선생님이나 손윗사람의 인정을 받게 되는 시기입니다.,2.4
252,가까운 사람을 소홀히 대접하지 마세요.,가까운 사람과의 즐거움이 있습니다.,2.1
254,그는 당시 여주지청에서 통영지청 수석검사로 발령 났다.,당시 여주지청에서 근무했던 서지현 검사는 잔류를 원했지만 검찰총장의 경고를 받고 통영지청으로 발령됐습니다.,2.3
255,민주노총 전북본부도 주변국들에 진정 어린 대화 의지를 촉구했다.,민주노총 전북본부도 남북 정상회담 개최에 대해 지지하고 나섰다.,1.8
257,정신을 바짝 차리고 실수하지 않도록 하세요.,유흥을 즐기되 정신을 바짝 차리세요.,2.0
264,큰 것에 욕심을 내면 얻는 것이 적을 거에요.,너무 큰 것만 노리지 말고 작은 것부터 챙기도록 하세요.,2.6
269,KT가 5G기반 VR게임 ‘스페셜포스VR’을 선보인 것이 대표적이다.,스페셜포스 VR은 드래곤플라이와 KT가 공동개발한 것이다.,1.8
273,행동은 잠시 미루는 것이 좋습니다.,여행이나 이동도 잠시 미루는 것이 좋습니다.,3.2
274,서두를수록 오히려 일이 꼬일 수 있어요.,주저하거나 망설이면 일이 꼬일 수 있어요.,2.9
275,부산교통공사(사장 박종흠)와 한국전기공사협회 부산시회는 최근 부산교통공사 회의실에서 '지역경제 활성화를 위한 업무협약'을 체결(사진)했다.,부산교통공사(사장 박종흠)와 부산대학교(총장 전호환)는 22일 부산대 총장실에서 산학협력 협약을 체결했다고 밝혔다.,1.8
277,"후면 1200만·전면 800만 화소의 카메라가 탑재되며, 슬로모션 기능도 지원된다.",후면은 물론 전면 역시 1300만 화소의 고화질 카메라를 탑재해 프리미엄급의 성능을 자랑한다.,2.3
280,"성폭행 의혹에 대해선 ""성관계는 있었지만 강제성은 없었다""며 부인했다.",성폭행에 강제성이 없었다는회견장을 뛰쳐나올 수밖에 없었다”고 밝혔다.,2.3
281,"월보험료 상한선도 직장가입자는 243만7,000원에서 309만7,000원으로, 지역가입자는 232만4,000원에서 309만7,000원으로 인상된다.","지역가입자의 보험료 상한액도 현재 월 232만4000원에서 7월부터 309만7000원으로 인상되고서, 해마다 자동 조정된다.",2.6
283,청와대 국민청원 게시판에도 이씨를 처벌 및 조사해달라는 청원이 연일 올라오고 있다.,청와대 국민청원 게시판에 올라온 글,2.1
286,또 갤럭시S 시리즈 매니아 고객 9명을 초청해 ‘S어워즈’를 시상했다.,SK텔레콤은 개통행사에 고객 9명을 초청해 S어워즈를 시상했다.,2.2
293,검찰 핵심 관계자는 “다스가 이 전 대통령 소유라는 결론으로 가고 있다”고 말했다.,검찰이 다스의 실소유주를 이 전 대통령으로 보고 있다는 방증이다.,2.9
295,LG디스플레이는 2010년부터 파주사업장 인근 상가단지에 임직원을 위한 어린이집을 열고 운영해왔다.,LG디스플레이는 8일 파주사업장에 위치한 ‘정다운 어린이집’ 확장 개원식을 연다.,2.0
296,노력하면 노력한 만큼 결과가 좋을 거예요.,노력하는 자만이 행운을 움켜쥘 수 있을 거예요.,2.7
303,안희정 전 충남도지사 고소 사건을 접수한 서울서부지검은 곧바로 여성아동범죄전담부에 배당했습니다.,고소장을 접수한 검찰은 서울중앙지검 4차장 산하 여성아동범죄조사부(부장검사 홍종희)에 사건을 배당했다.,2.4
308,이어 “(공작의 사고방식으로는) ‘피해자를 준비시켜 진보 매체에 등장시켜야 겠다.,그러면 피해자들을 준비시켜 진보매체를 통해 등장시켜야겠다.,2.9
314,완성된 결과물은 재미있게 편집해 페이스북으로 쉽게 공유할 수 있다.,3D 스캐닝 결과물은 앱에서 페이스북에 손쉽게 업로드 할 수 있다.,2.1
316,건강과 스트레스 관리에 힘쓰도록 하세요.,건강에 무리가 올 수 있으니 주의하세요.,2.0
317,[한국경제TV e뉴스팀] 미성년자 단원들까지 성폭행한 경남 김해 극단 번작이 대표가 경찰에 체포됐다.,[스타뉴스] 미성년자 성폭행 혐의에 휘말린 김해 지역 극단 대표가 연극협회로부터 제명 조치됐다.,1.9
318,밀양연극촌 중심에는 처음부터 연희단거리패를 이끌던 이 씨가 있었다.,밀양연극촌은 연희단거리패를 처음부터 이끈 이씨가 2014년부터 이사장으로 있는 극단이다.,2.9
319,한국교통안전공단은 대전 라온컨벤션에서 자동차사고 피해가정 지원을 위한 'TS희망봉사단 발대식'을 했다고 24일 밝혔다.,공단은 2010년부터 TS희망봉사단을 조직해 자동차사고 피해가정에 정서적 지원을 제공하고 있다.,1.8
320,이윤택 연출로부터 성추행을 당했다는 연희단거리패 옛 단원들의 '미투' 고백도 계속되고 있다.,이윤택 연출에 성추행과 성폭행을 당했다는 피해여성들의 ‘미투(#Me Too)’가 꾸준히 늘어나고 있다.,3.2
323,김씨는 지난해 대통령선거의 더불어민주당 경선 때 안 지사 캠프에서 일했다.,김씨는 지난 대선 기간 안 지사의 홍보기획관으로 일했다.,3.1
325,서해안고속도로 서울 방향은 일직분기점→금천나들목 3.8㎞ 구간에서 차량이 거북이걸음을 하고 있다.,서해안고속도로 서울 방향은 23.6㎞ 구간에서 시속 40㎞ 미만으로 서행하고 있다.,2.2
326,휴대전화를 새로 구매하지 않는 이용자도 가입할 수 있다.,무약정 플랜은 휴대전화를 새로 구매하지 않는 고객도 가입할 수 있다.,3.2
328,"지방에서 수도권 방향으로 총 38만대가 이동할 전망이고, 오후 3시 기준으로 22만대가 들어왔다.","수도권에서 지방으로 향하는 차량은 38만대, 지방에서 수도권으로 진입하는 차량은 42만대로 예상된다.",2.9
329,매주 월요일은 휴관한다.,전시 관람은 무료이며 매주 월요일은 휴관한다.,2.5
330,서해안고속도로 서울방향은 일직분기점→금천나들목 3.8㎞ 구간에서 차량이 거북이걸음을 하고 있다.,서해안고속도로 서울 방향은 23.6㎞ 구간에서 시속 40㎞ 미만으로 서행하고 있다.,2.1
332,오디세이학교는 고등학교 1학년 학생을 대상으로 대안교육을 통한 진로 탐색 기회를 제공한다.,오디세이학교 학생들은 1년간 공통교육과정과 선택교육과정을 함께 배운다.,1.8
334,"몇 차례, 차에서, 무대에서, 대표실에게 나에게 요구했다.","차와 무대, 대표실 등에서 수차례 관계를 요구했다고도 썼다.",3.0
336,"빠르게 움직이는 물체를 문제없이 촬영할 수 있고, 어두운 곳에서도 촬영이 가능하다.",여기에 빠르게 움직이는 피사체를 안정되게 촬영하는 '슬로모션'기능이 향상될 것으로 보인다.,2.0
340,또 대구방문 일본 의료관광객도 2017년 1300여명으로 전년 694명에 비해 87% 이상 늘었다.,대구를 찾은 러시아 의료관광객 수는 2015년 291명에서 2016년 1295명으로 크게 늘었다.,1.8
341,"일본은 7엔드까지 2-3으로 밀렸으나, 8·9·10엔드에서 1득점씩 올리며 맹추격, 역전극을 펼쳤다.",9엔드까지 7-6으로 앞서던 한국은 10엔드에 아쉽게 1점을 내주며 일본에 동점을 허용했다.,2.1
342,함께 데이트하고 영화도 보고 싶지만 멀리 떨어져 있어 방학까지 기다려야 한다.,함께 영화나 예능을 보고 싶어도 멀리 있어 불가능했다.,2.1
343,이에 분쟁조정위는 당사자에게 임차인 원상복구 의무 범위를 설명했다.,분쟁조정위를 거쳐 양측은 임차인의 원상복구 책임 없이 임대차계약 해지에 상호 합의했다.,1.8
348,동해안에는 너울성 파도가 해안도로나 방파제를 넘는 곳이 있으므로 안전사고에 대비해야 한다.,동해안에서는 너울성파도도 조심하셔야겠습니다.,2.5
350,매매나 계약 등 문서를 처리할 때는 신중을 기하세요.,다른 사람과의 동업이나 계약은 신중을 기하세요.,2.2
351,[디지털타임스] LG전자가 이탈리아에서 초프리미엄 브랜드 'LG 시그니처'를 앞세워 프리미엄 마케팅을 강화하고 있다.,LG전자는 이태리에서 프리미엄 브랜드 '시그니처'를 앞세워 프리미엄 마케팅을 강화하고 있다고 27일 밝혔다.,3.1
352,MBC는 28일 사진작가 로타에게 성추행을 당했다고 주장하는 여성의 인터뷰를 내보냈다.,지난달 28일 MBC ‘뉴스데스크’는 5년 전 로타에게 성추행을 당했다는 A씨의 인터뷰를 보도했다.,3.0
355,"사법연수원과 사법정책연구원에서도 각 1명, 대법원 재판연구관 중에서는 2명의 판사가 대표회의에 참여한다.",대법원 재판연구관들도 2명의 대표판사가 대표회의에 참여합니다.,2.9
356,지나친 호언장담은 득보다 실이 많습니다.,84년생 급한 성미는 득보다 실이 많다.,2.0
357,매사가 순조로우니 몸과 마음이 편안한 한 주에요.,매사를 순리대로 행하면 편안하다.,2.7
358,보호자가 관리해야 하는 상황이라면 발톱 깎는 것이 두렵지 않도록 해줘야 합니다.,보호자가 할 수 있는 반려견 발톱 관리하기 방법을 소개한다.,2.1
359,직원들은 휴게실 등에 모여 전날 방송된 뉴스 내용을 놓고 대화를 나눴다.,휴게실 등에서는 삼삼오오 모여 전날 보도된 뉴스를 놓고 대화를 나눴다.,3.2
364,돈보다는 사람의 마음을 얻는데 주력하세요.,사람의 마음을 얻어야 자신이 원하는 것도 얻을 거에요.,2.4
366,청년실업률과 집값이 치솟고 있는 현실이 결혼을 망설이게 하고 있다.,상당수의 청년들이 글자그대로 경제적 문제로 인해 결혼과 출산을 못하고 있는 상황인 셈이다.,1.8
370,일요일인 25일 낮부터 차차 맑아질 것으로 기상지청은 내다봤다.,내일은 낮부터 차차 맑아지겠습니다.,2.1
371,"이에 관련, 부산고용노동청은 전면 작업중지 명령을 내리고 현장에 근로감독관을 파견했다.",부산고용노동청은 이날 해운대 엘시티 신축공사 전반에 대해 전면 작업중지를 명령했다.,2.1
374,섣불리 속단하지 말고 끝까지 지켜보세요.,62년생 끝까지 지켜봐야 합니다.,1.9
377,업그레이드된 모바일 iOS용 SAP 클라우드 플랫폼 SDK도 선보였다.,차세대 iOS용 SAP 클라우드 플랫폼 SDK도 새롭게 업데이트 됐다.,3.2
378,기분 상하는 일이 있어도 나서지 마세요.,97년생 - 기분 상하는 일이 있어도 웃어 넘기세요.,2.2
383,다음 동계올림픽은 2022년 중국 베이징에서 열린다.,평창과 도쿄에 이어 2022년엔 베이징에서 동계 올림픽이 열린다.,3.1
384,뿌린 만큼 거두게 되는 형국이니 걱정하지 않으셔도 됩니다.,뿌린 만큼 거둬들이는 하루이니 그동안 당신이 뿌린 씨앗이 결실을 맺게 될 것입니다.,2.4
385,여론조사 대상 인원은 아직 정해지지 않았다.,A: 아직 정해지지 않았다.,2.0
386,14조 아웃코스에 배정된 차민규의 상대로는 주니오 길모어(캐나다)가 달린다.,함께 달린 상대는 주니오 길모어(캐나다)였다.,2.1
388,개정된 법률은 공포 후 6개월 뒤부터 시행된다.,개정된 '대중문화예술산업발전법'은 공포 후 6개월 이후부터 시행된다.,2.9
391,수원시 광교산상생협의회 관계자들이 협약식 후 기념촬영을 하고 있다.,업무협약 후 기념촬영 모습.,1.8
392,화나고 짜증나는 일이 있어도 겉으로 티를 내지 마세요.,좋은 일이든 나쁜 일이든 겉으로 티를 내지 마세요.,2.8
394,"기상청은 ""기온은 평년과 비슷하지만 내륙을 중심으로 낮과 밤의 기온차가 크겠다""며 주의를 당부했다.","기상청 관계자는 ""당분간 낮과 밤의 기온차가 크겠다""며 ""건강관리에 유의해야 한다""고 당부했다.",3.1
399,조씨는 청주대학교 연극영화과 교수로 재직할 당시 다수의 여학생을 성추행했다는 의혹이 불거졌습니다.,오랫동안 서울예대 교수로 재직해온 원로 연극연출가의 성추행 의혹도 제기됐다.,2.1
400,조사단은 A씨에 대해 입국 시 통보 및 출국 금지 조처를 내리며 압박했습니다.,조사단은 현재 A 전 검사에 대해 입국 시 출국금지 조치를 해놓은 상태다.,2.9
401,구매 고객 대상 다양한 프로모션도 마련했다.,구매 고객 대상으로 '원 플러스 원' 프로모션도 진행한다.,3.1
403,최씨의 남편은 하루 뒤인 20일 “딸아이가 숨을 쉬지 않는다”고 119에 신고했다.,A씨는 범행 첫날 “아이가 숨을 쉬지 않는다”며 스스로 119에 신고했다.,2.6
404,성인이 청소년 또는 어린이 교통카드나 할인권을 부정 사용하는 사례도 28%(502건)를 차지했다.,적발된 유형 중에는 청소년이 어린이 할인권을 부정사용한 경우가 1천207건(58%)으로 가장 많았다.,2.4
405,"생명을 다루는 직업인만큼, 교육은 엄격할 수밖에 없습니다.",생명을 다루는 직업이기에 가장 소중하게 여겨져야 한다.,2.2
406,전국적으로 건조특보가 유지되면서 산불 등 화재 예방에 각별히 유의해야겠다.,전국적으로 건조특보가 수일째 지속되고 있는데요.,2.1
408,"] 안희정 전 충남도지사가회견을 취소, 검찰이 자신을 소환해 줄 것을 요청했다.",안희정 전 충남지사가 8일회견을 돌연 취소했다.,2.3
413,인명 피해는 없었지만 주변 상점 출입구가 부서지는 등의 피해가 났다.,인명피해는 없는 것으로 알려졌다.,2.2
414,뉴욕타임스(NYT)는 그레이엄 목사가 전립선암과 파킨슨병 등을 앓아왔다고 전했다.,"그레이엄 목사는 지난 몇 년간 전립선 암, 파킨슨 병 등과 싸워왔다.",2.3
418,이후 금융감독원은 검찰에 수사를 의뢰했다.,금융감독원이 검찰에 수사를 의뢰한지 한달만이다.,3.0
421,무리하게 일을 추진하거나 남을 의식하지 마세요.,서두르거나 무리한 일을 벌이지 마세요.,3.0
422,경품이 걸린 이벤트 등에 응모를 해보도록 하세요.,이벤트에 응모해보는 것도 좋고 복권이라 로또를 구매해보는 것도 나쁘지 않습니다.,1.8
426,하고 싶지 않은 일이라 하더라도 끝까지 최선을 다하세요.,자신의 일에 최선을 다하십시오.,2.8
427,인간에게는 위험 회피 편향도 있다.,위험 회피 편향은 보편 원리에 대한 지지로 이어지기 쉽다.,1.8
428,나중에 그가 장문의 문자를 보냈고 미안하다고 넘어가달라고 말했다.,얼마 후 그는 장문의 문자를 보내 내가 잠시 미쳤던것같다.,2.2
429,"노키아는 프리미엄 스마트폰 노키아8 시로코와 노키아8110, 노키아7 플러스 등도 함께 전시했다.",③노키아의 새 프리미엄 스마트폰 ‘노키아8 시로코’의 카메라 기능을 사용하고 있는 모습.,2.0
435,새 장터에서는 성남시에 사용료를 낸 상인 635명이 좌판을 펴고 장사를 한다.,새 장터는 2만2575㎡ 규모에 입점 상인만 635명이다.,1.8
436,LG유플러스가 지난 1월 업계에서는 가장 먼저 이런 제도를 도입했다.,LG유플러스가 1월 도입한 재약정 시 할인반환금 유예 제도도 실시한다.,2.1
446,총 778억원이 투입됐다.,총 1천678억원이 투입된다.,3.1
455,감정적인 말이나 행동은 피해야 할 때입니다.,거짓말이나 변명은 피해야 할 때입니다.,2.8
456,"발견 당시 A씨는 나무에 목매 숨져 있었으며, 유서는 발견되지 않았다.",발견 당시 A씨의 시신에서 타살 혐의점은 발견되지 않은 것으로 알려졌다.,2.5
459,"상호간에 믿고 존중하는 상태에서 성관계는 했다""고 해명했다.","상호간의 믿고 존중하는""이라고 말끝을 흐렸다.",2.2
460,당첨번호 5개와 보너스 숫자를 함께 맞힌 이번 회차의 2등 당첨금은 4천766만7천원이다.,당첨번호 5개와 보너스 번호를 맞힌 2등은 총 46명으로 각 7008만8524원씩 수령하게 된다.,3.1
464,산업위기대응특별지역과 고용위기지역 지정이 근본적인 해결책이 될 수 없다.,정부가 산업위기대응특별지역과 고용위기지역 지정을 추진하고 있다.,2.5
473,조금 욕심을 부려보는 것도 좋습니다.,조금은 가볍게 생각하는 것이 좋을 때도 있습니다.,2.4
474,석면은 폐암과 후두암을 일으키는 1급 발암물질이다.,석면은 세계보건기구가 지정한 1급 발암물질이다.,2.4
476,"이날 아침 최저기온은 -5∼3도, 낮 최고기온은 6∼13도로 예보됐다.","이날 아침 최저기온은 -12∼-1도, 낮 최고기온은 2∼11도로 평년보다 낮겠다.",2.9
479,오랜 친구를 우선해야 하는 날입니다.,새로운 연인이나 친구를 만나는 날입니다.,2.4
482,익산교육지원청 제16대 이수경 교육장 취임 전북 익산교육지원청 제16대 교육장에 이수경씨가 취임했다.,"이수경 신임 교육장은 익산교육지원청 장학사, 이리부송초등학교 교장 등을 역임했다.",2.5
486,오늘은 양보하는 것이 좋은 날입니다.,매사에 자중하는 것이 좋은 날입니다.,2.2
487,"가장 중대하다고 할 수 있는 혐의, 뇌물수수죄로 볼 수 있나요?",가장 중대하다고 할 수 있는 뇌물 혐의가 구형량을 결정지을 것으로 보입니다.,3.0
489,3일 오후 부산 해운대구 엘시티(LCT)공사장 사고 현장에서 관계자들이 현장을 살펴보고 있다.,"2일 오후 부산 해운대 엘시티 공사장에서 추락 사고가 발생, 근로자 4명이 숨졌다.",2.1
501,"연령별로는 40대(찬성 77.9%), 30대(77.4%), 20대(69.6%), 60대 이상(67.0%) 순으로 삭제 의견이 많이 나왔습니다.","연령별로는 20대(18.7%), 30대(17.2%), 40대(14.8%) 순이었다.",2.4
505,포인트 유효기간은 적립 후 36개월까지다.,"포인트 유효기간은 적립 뒤 36개월이며, 휴대전화 해지 시에는 자동소멸된다.",2.0
515,경찰은 피해자가 더 있을 것으로 보고 여죄를 캐고 있다.,경찰은 타살 가능성이 큰 것으로 보고 수사에 나섰습니다.입니다.,1.9
516,"또, 할인반환금(위약금) 구조도 개편해 약정 기간을 채우지 못한 이용자의 부담을 줄였다.",또 약정 기간이 줄수록 할인반환금(위약금) 또한 줄어들 수 있도록 서비스를 개편했다.,3.1
517,인천공항 정규직화와 비트코인을 이어주는 키워드는 ‘무능’이다.,단일팀과 인천공항정규직화를 이어주는 키워드는 ‘노력’이다.,3.0
521,같은 기간 당기순이익은 3.8% 증가한 36억원으로 집계됐다.,"같은 기간 매출액은 1% 오른 396억원, 당기순손실은 205억원 늘어난 210억원으로 집계됐다.",2.3
522,특히 많은 사람을 만나보는 것이 좋습니다.,말 많은 사람들은 멀리 하는 것이 좋습니다.,2.3
