index,guid,source,sentence1,sentence2,labels.label,new_label
16,klue-sts-v1_train_00016,airbnb-rtt,시끄러운 런던 중심가보다 훨씬 좋습니다.,시끌벅적한 런던 시내보다 훨씬 좋아요.,4.1,4.1
17,klue-sts-v1_train_00017,paraKQC-para,시장에서 어떤 거 사오려고 하시나요?,시장에서 무슨 물건 사 오게?,3.8,3.8
18,klue-sts-v1_train_00018,paraKQC-para,에어컨 쓰면 안된다고 경고했어.,에어컨 쓰면 안 된다,3.7,3.7
19,klue-sts-v1_train_00019,airbnb-sampled,여행을 마치고 나서도 호스트와 체코가 생각이 납니다.,먼지 한 톨 없고 화장실도 광이 납니다.,0,0
21,klue-sts-v1_train_00021,paraKQC-sampled,가급적 식사는 거르지 않도록 해라.,오늘 알람 몇 시로 예약해놨어?,0,0
22,klue-sts-v1_train_00022,policy-sampled,555조8000억원으로 편성한 내년도 예산안은 국난극복과 선도국가로 가기 위한 의지를 담았다는 것이 문 대통령의 설명이다.,"마지막으로, 국민의 안전한 삶과 튼튼한 국방, 평화를 향한 한결같은 의지를 담았습니다.",0.3,0.3
23,klue-sts-v1_train_00023,airbnb-sampled,방에 110볼트 컨버터 3개 있습니다.,화장실에 수건이랑 샴푸도 여러개 있었습니다.,0,0
24,klue-sts-v1_train_00024,airbnb-rtt,샤워기도 수압이 너무 약해서 불편해요.,샤워는 수압이 너무 약해서 불편해요.,4.3,4.3
25,klue-sts-v1_train_00025,airbnb-sampled,그리고 숙소가 예뻐요 그냥 너무너무 예뻐요.,그리고 무엇보다 방이 너무예쁘고 집전체가 너무너무 예뻐요.,2.7,3
26,klue-sts-v1_train_00026,policy-sampled,"유럽연합(EU) 등에서 사용 중인 녹색금융의 개념과 분류기준 등을 참고해 우리나라 실정에 맞는 한국형 녹색금융 분류체계를 마련, 보급한다.",아울러 요양병원에서는 입원환자 중 원인미상의 폐렴환자를 격리해 진단검사를 실시한다.,0,0
28,klue-sts-v1_train_00028,policy-sampled,"한편 이날 행사 이후 제주에너지공사, 한국중부발전, 현대자동차, 수소융합얼라이언스추진단 등 4개 기관은 ‘제주 그린수소 전주기 실증 프로젝트를 위한 업무협약’을 체결했다.","한편, 환경부와 한국환경공단은 15일 오전 서울에 위치한 온실가스종합정보센터 회의실에서 선정된 기업과 ‘스마트 생태공장 구축사업의 성공적 추진을 위한 사업계획 협약’을 체결했다.",0.8,0.8
29,klue-sts-v1_train_00029,airbnb-sampled,다만 흡연자가 많이 있어 비흡연자가 식사하기에 어려울 수 있는 것을 참고하세요.,다만 머무는 날짜와 인원수에 비례해서 도시세 올라가는 건 참고하세요!,0,0
30,klue-sts-v1_train_00030,paraKQC-sampled,어린이 장화의 가격은?,언제야? 강원영서에 소나기 오는 날.,0,0
31,klue-sts-v1_train_00031,policy-sampled,특히 ‘유전자 증폭방식’ 검사결과는 작업 과정의 작은 차이에도 영향을 받을 수 있어 이번 국제표준 제정이 코로나19 등 감염병 진단검사의 정확도 향상에 기여할 것으로 기대된다.,"‘사업운영에 막대한 지장’ 여부는 휴가 청구자 업무의 성질, 작업의 바쁜정도, 같은 시기에 휴가 청구자 수 등을 고려하여 판단",0,0
33,klue-sts-v1_train_00033,airbnb-rtt,"위치, 청결, 가격, 호스트 모두 좋아요.","위치, 청결도, 가격, 호스트 모두 좋습니다.",4.8,4.8
34,klue-sts-v1_train_00034,airbnb-sampled,몽트뢰일정이길고여유로우신분들은꼭이집으로가세요.,특히 이 호텔에 묶고싶은 한국인들은 보세요.,0.2,0.2
35,klue-sts-v1_train_00035,airbnb-sampled,"2020년 1월말 기준 소금, 후추, 수프 스탁, 쌀, 티백이 있었어요.","1,2,3호선 다 이용가능한 지하철역이 가까이 있어요.",0,0
36,klue-sts-v1_train_00036,policy-sampled,"이번 제5기 위원회는 국내 및 국제적으로 지식재산 연구·활동 경험이 풍부한 정상조 민간위원장을 포함, 주요 분야에서 전문 식견이 높은 위원 중심으로 구성됐다.",용산공원 조성을 본격 추진할 제1기 용산공원조성추진위원회 민간공동위원장으로 유홍준 명지대 석좌교수가 임명됐다.,0,0
38,klue-sts-v1_train_00038,airbnb-sampled,그래도 세탁기와 건조기 사용이 좋았어요,세탁기가 완전건조 세탁기라는 게 가장 좋았어요.,2.8,2.5
39,klue-sts-v1_train_00039,airbnb-sampled,"숙소는 도보로 오페라, 라파예트 등 주요관광지를 다니기에 부족함이 없었어요.",다음날아침 도보로 주요관광지에 도착할 수 있었습니다.,0.7,0.7
40,klue-sts-v1_train_00040,paraKQC-sampled,한낮에 내륙 중심은 몇 도 인가요?,지진났을 때 건물 엘리베이터 사용하지마.,0,0
41,klue-sts-v1_train_00041,paraKQC-sampled,다음 주에는 언제 비가 와?,미세먼지 높을 때는 운동하지 마라.,0,0
42,klue-sts-v1_train_00042,airbnb-sampled,부디 다음으로 호스팅을 할 때는 게스트를 보다 더 배려해주시길 바랍니다.,아니라면 다른 곳을 알아보시길 바랍니다.,0.5,0.5
43,klue-sts-v1_train_00043,paraKQC-para,에어컨 짧게 쓰지 말고 한 번에 길게 틀어 놔.,에어컨은 짧게 쓰고 자주 끄지는 마,3.2,3.2
44,klue-sts-v1_train_00044,airbnb-rtt,좋은숙소를 이용할 수 있어서 감사합니다.,좋은 숙소에 감사드립니다.,3.7,3.7
45,klue-sts-v1_train_00045,policy-sampled,이번 전략은 지난 7월 한국판 디지털 뉴딜의 일환으로 인공지능·데이터 기반의 스마트제조 미래 청사진을 제시한 ‘스마트제조 2.0 전략’에 대한 후속 실행 전략이다.,이번 누리집은 기존에 기획재정부에서 운영 중이었던 한국판 뉴딜 마이크로 페이지를 관계부처 합동 한국판뉴딜 통합 누리집으로 확대·개편한 것이다.,0.2,0.2
46,klue-sts-v1_train_00046,airbnb-sampled,다른 객실 인원은 조용했으나 바닥 소리가 큽니다.,단점은 창가쪽으로 침대 헤드가 있어서 차 지나가는 소리가 다 들립니다.,0.7,0.7
47,klue-sts-v1_train_00047,airbnb-sampled,더구나 샤워시 몸을 양 팔꿈치를 올리기 힘들정도의 좁은 공간이 나에게 고문 이었어요!,저렴한 가격에 믿기 힘들정도로 훌륭한 공간이었어요,0.2,0.2
48,klue-sts-v1_train_00048,airbnb-sampled,신속한 응답과 친절한 배려 모든부분에서 만족스러웠다.,위치를 제외한 나머지 모든 부분도 매우 만족스러웠습니다.,1.7,1.7
49,klue-sts-v1_train_00049,airbnb-sampled,"한층에 룸이 5개씩, 총 10 개 정도인 것 같은데 한국의 고급 고시텔 느낌일까요.",집에 샤워부스랑 변기 다 있는 화장실 두 개에 방이 총 4개인 것 같았어요.,0.8,0.8
50,klue-sts-v1_train_00050,airbnb-rtt,마치 영화에 나오는 프랑스 장면들 같았어요.,마치 영화 속의 프랑스 장면 같았어요.,4.7,4.7
51,klue-sts-v1_train_00051,airbnb-rtt,그러니 싱글 방을 이용하시려는 분들은 1번방이 더 좋을 것 같아요.,그래서 저는 1인실을 이용하고자 하는 분들에게 1호실이 더 좋을 것 같아요.,3.2,3.2
52,klue-sts-v1_train_00052,airbnb-rtt,화장실도 깨끗하고 따뜻한 물도 잘나와요.,욕실은 깨끗하고 따뜻한 물이 잘 나옵니다.,4.1,4.1
53,klue-sts-v1_train_00053,airbnb-rtt,호스트와의 연락은 전화번호나 메세지 보다 이메일이 가장 빠르고 정확합니다!,호스트와의 연락처는 전화 번호나 메시지보다 빠르고 정확합니다!,3.5,3.5
54,klue-sts-v1_train_00054,airbnb-rtt,멜버른을 다시 방문하면 꼭 이숙소를 쓸것입니다.,"만약 제가 멜버른을 다시 방문한다면, 저는 반드시 이 숙소를 이용할 것입니다.",3.8,3.8
55,klue-sts-v1_train_00055,policy-sampled,"정부는 연말까지 관광진흥법을 개정, 내국인 대상 도시민박 영업을 최대 180일 허용할 방침이다.","국공노 소속 28개 지부는 조합원을 상대로 온누리상품권 1인 월 10만원 구매와 조기 사용, 식당·미장원 등 단골집에서 선결제를 독려할 방침이다.",0,0
57,klue-sts-v1_train_00057,airbnb-rtt,위치는 세비야 중심은 아니지만 세비야 대성당이나 알카사르 등 도보로 이동 가능합니다.,위치는 세비야 중심지는 아니지만 세비야 대성당이나 알카사르까지 걸어갈 수 있습니다.,4.3,4.3
58,klue-sts-v1_train_00058,paraKQC-sampled,미세먼지 마스크 제조하는 업체는 어디입니까?,태풍 오면 배 타지 말아라.,0,0
59,klue-sts-v1_train_00059,airbnb-rtt,개선문과 샹젤리제 거리까지 걸어갈 수 있어요,여러분은 개선문과 샹젤리제까지 걸어갈 수 있습니다.,4.5,4.5
60,klue-sts-v1_train_00060,paraKQC-sampled,네이트 메일이 지원하지 않는 첨부파일 종류는?,학회 홍보메일이랑 저널 홍보메일을 비교했을 때 뭐가 더 자주 와?,0.4,0.4
61,klue-sts-v1_train_00061,airbnb-sampled,무료로 제공되는 네스프레소와 함께여는 포르투의 아침은 정말 최고였습니다.,네스프레소와 건조기능이있는 세탁기 정말 최고였구요,1,1
62,klue-sts-v1_train_00062,airbnb-sampled,담배연기 냄새가 심해서 아이들과 머물기 힘듭니다.,아이들과 가족여행하기 좋은 숙소였습니다.,1,1
64,klue-sts-v1_train_00064,airbnb-rtt,가족단위 투숙객들에게 특히 좋을 것 같습니다.,그것은 특히 가족 손님들에게 좋을 것입니다.,3.8,3.8
65,klue-sts-v1_train_00065,airbnb-sampled,역에서 거리가 있지만 개인실에 편안한 공간입니다.,세비야 중심에서 약간 거리가 있지만 가격대비 매우 훌륭한 숙소 입니다.,1,1
66,klue-sts-v1_train_00066,airbnb-rtt,파리숙소들이 워낙 비싼데 나쁘지 않은가격에 쏘쏘한 집입니다.,"파리 숙박 시설은 매우 비싸지만, 가격도 나쁘지 않고 아주 작은 집이에요.",3.8,3.8
67,klue-sts-v1_train_00067,airbnb-rtt,그리고 항상 빠른 피드백을 주었습니다.,그리고 그들은 항상 우리에게 빠른 피드백을 주었습니다.,3.9,3.9
68,klue-sts-v1_train_00068,paraKQC-sampled,대학 후배 결혼식이니까 늦지 말거라.,예전처럼 약속시간을 까먹지말고 지키기위해 노력합시다.,0.2,0.2
69,klue-sts-v1_train_00069,paraKQC-sampled,당신의 트위치 계정은 트위터보다는 페이스북과 연동하는 것이 바람직합니다.,첨부파일 최대 용량이 지메일은 어떻게 되나요?,0,0
70,klue-sts-v1_train_00070,paraKQC-para,삼십도 이상은 안됩니다. 겨울철 실내온도.,겨울철 실내온도는 삼십도 이상으로 하면 안됩니다.,4.4,4.4
71,klue-sts-v1_train_00071,airbnb-sampled,"위치와 청결, 시설은 정말 훌륭했습니다.","위치, 청결, 편의시설 모든 것이 만족스러웠습니다.",3.4,3.4
72,klue-sts-v1_train_00072,paraKQC-sampled,최근 거래처 메일에 가장 많이 출현한 단어는?,교수님에게 메일을 보냈을 때랑 조교님께 보냈을 때랑 누가 더 답변을 주셔?,0.6,0.6
74,klue-sts-v1_train_00074,paraKQC-para,영화는 시간이 다되어서 취소기 보단 최소 하루 전에 취소하렴.,앞으로 영화를 취소하실 때 당일에 하지 마시고 최소 하루 전에 해주시길 바랍니다.,3.2,3.2
75,klue-sts-v1_train_00075,airbnb-rtt,엘리베이터가 2인승 그것도 좀 큰 백팩이 있으면 한명밖에 못들어갑니다.,"2인용 엘리베이터, 그리고 큰 배낭이 있으면 한 사람만 탈 수 있습니다.",3.7,3.7
76,klue-sts-v1_train_00076,paraKQC-sampled,"언제 놀러가실건가요, 금요일과 토요일 중에 골라주시겠습니까?",올해에 예정되어 있는 연휴들 리스트 각각 언제인지 알려줘.,0.2,0.2
78,klue-sts-v1_train_00078,policy-sampled,"우리 문화의 정체성과 다양성을 보존하기 위해 국어문화, 전통문화, 기초예술, 인디문화 등을 계속 지원한다.","이와 함께 중소기업의 다양한 연구개발 수요를 충족하기 위해 18개 사업을 신설, 2807억원을 지원한다.",0.3,0.3
79,klue-sts-v1_train_00079,airbnb-sampled,이 부분은 피렌체 난방 정책상 어쩔수 없는 부분이라고 합니다.,와이키키 지역이 그렇듯이 좀 시끄러운 것은 어쩔 수 없을 듯합니다.,0.3,0.3
80,klue-sts-v1_train_00080,airbnb-sampled,"호텔보다 더 좋은점은 올리브유, 소금, 식기구 등을 호스트가 제공한다는 점이에요!",이곳은 호스트가 너무 친절한 곳이에요!,0.7,0.7
81,klue-sts-v1_train_00081,paraKQC-para,집안에 그 조명등 있는거 밝기가 얼마나 되는지 어떻게 알 수 있죠,집안에 그 조명등 있잖아 밝기가 어느 정도 인지 어떻게 알 수 있지,4.4,4.4
82,klue-sts-v1_train_00082,paraKQC-sampled,혹시 약속을 변경하실 때에는 그냥 변경하지 마시고 삼십분 전에 그 사유를 공지해주십시오.,오늘 언제 만날 수 있어?,0,0
83,klue-sts-v1_train_00083,paraKQC-para,너는 안방하고 거실 중에 어디에 로봇 청소기를 작동시키고 싶어?,안방하고 거실 중에 너가 로봇청소기를 틀고 싶은 곳은 어딜까?,3.5,3.5
84,klue-sts-v1_train_00084,airbnb-sampled,집 바로 앞에서 트램타고 구시가지까지 한번에가는데 10분도 안걸려요!,심지어 1분 앞 정류장에서 바다까지 한 번에 20분 정도 걸렸어요!,0.8,0.8
85,klue-sts-v1_train_00085,airbnb-rtt,덕분에 바로셀로나 곳곳을 하루종일 잘 다녔습니다.,당신 덕분에 하루 종일 바르셀로나 주변을 돌아다녔어요.,3.7,3.7
86,klue-sts-v1_train_00086,airbnb-rtt,"총 27박 28일을 여기서 지냈는데요,",여기서 총 27박 28일을 보냈어요.,4.3,4.3
87,klue-sts-v1_train_00087,paraKQC-para,에어비앤비랑 트립닷컴이랑 비교했을 때 광고 메일이 더 많은 곳은?,메일로 보내는 광고 중 에어비앤기 꺼가 더 많아 트립닷컴꺼가 더 많아?,3.3,3.3
88,klue-sts-v1_train_00088,paraKQC-sampled,땡볕엔 피부노출 금지야.,지진 시에는 엘리베이터 사용하지 마세요. 건물 계단을 이용합시다.,0,0
90,klue-sts-v1_train_00090,paraKQC-sampled,효율이 더 나은게 선풍기였나요 에어컨이었나요?,안방이랑 작은방 중에서 자기 편한 곳이 어디야?,0.2,0.2
91,klue-sts-v1_train_00091,paraKQC-para,학회 메일을 더 이상 그만 받고 스팸처리하고 싶은데 방법을 알려줘,어떻게 하면 학회 메일을 스팸처리할 수 있어?,3.6,3.6
92,klue-sts-v1_train_00092,airbnb-rtt,언어 소통도 친절함도 모든것이 너무 좋았읍니다.,저는 언어소통과 친절함에 대한 모든 것을 사랑했습니다.,3.5,3.5
93,klue-sts-v1_train_00093,airbnb-rtt,장점 포르투 여행하기에 위치가 정말 좋다.,장점 포르토에 여행하기에 좋은 장소입니다.,3.3,3.3
94,klue-sts-v1_train_00094,policy-rtt,세계 각국의 발표에서 가장 눈에 띄는 단어는 ‘신뢰’였다.,이번 발표에서 가장 눈에 띄는 단어는 '신뢰'였습니다.,3.5,3.5
95,klue-sts-v1_train_00095,paraKQC-sampled,칠월 약속 리스트가 몇 개야?,어디서 봐야 처음 볼 때 괜찮지?,0,0
96,klue-sts-v1_train_00096,airbnb-sampled,저는 여기 숙소때문에 다시 뉴욕에 오고 싶을정도예요!,마드리드에 다시 방문한다면 무조건 이 숙소에 다시 묵을거예요.,1.4,1.4
98,klue-sts-v1_train_00098,airbnb-sampled,샤워할때 좁은 공간에 샤워커텐이 몸에 달라붙어 짜증이 많이난다.,체크아웃 할 때 직접 봤기 때문에 믿음이 갔습니다.,0,0
99,klue-sts-v1_train_00099,airbnb-sampled,그 기차 타서 아토차역 한방에 갑니다!,방은 2명이서 쓰기에 조금 좁지만 집이 너무 예뻐요!,0,0
100,klue-sts-v1_train_00100,policy-sampled,지난 9월 세계경제포럼(WEF)의 관광경쟁력 평가 결과에서도 전 세계 140개국 중 16위로 역대 최고 순위를 달성했다.,"전 세계적으로 92개국이, 경제협력개발기구(OECD) 회원국 중에서는 우리나라와 터키를 제외한 34개국이 도입했다.",0.7,0.7
101,klue-sts-v1_train_00101,paraKQC-para,알려줘. 손선풍기 판매하는 사이트.,어느 사이트에서 손선풍기 판매하고 있어?,3.5,3.5
102,klue-sts-v1_train_00102,airbnb-rtt,위치 또한 매우 좋아서 이동에 매우 편리합니다.,위치도 아주 좋아서 이동하기에 아주 편리해요.,4.5,4.5
103,klue-sts-v1_train_00103,airbnb-sampled,그래서 의사소통할 때 조금 오래 걸릴 수 있습니다!,로컬처럼 생활할수있다는 장점이 있습니다.,0,0
104,klue-sts-v1_train_00104,airbnb-rtt,와이파이가 2층에서 좀 느리지만 사용할 만 합니다.,2층은 와이파이가 좀 느리긴 하지만 사용하기에 좋아요.,3.7,3.7
105,klue-sts-v1_train_00105,paraKQC-sampled,집밖은 보지말고 집안 습도 확인 부탁해,"손님, 식기 세척기를 보시나요 식기 건조기를 보시나요?",0,0
106,klue-sts-v1_train_00106,policy-rtt,압류 부동산 매각을 보류하는 등 체납처분의 집행도 최장 1년까지 유예 조치하기로 했다.,체납처분의 집행도 압류된 부동산의 매매 정지를 포함해 최대 1년간 유예될 예정입니다.,3.3,3.3
107,klue-sts-v1_train_00107,paraKQC-sampled,용량이 더 큰 메일을 보낸게 거래처인가요 부장님인가요?,거래처 메일이 차지하는 용량이랑 부장님꺼 중에 뭐가 더 크지?,3.5,3.5
110,klue-sts-v1_train_00110,policy-rtt,송도는 우리나라 최초로 ‘스마트시티’가 시작된 곳이며 끊임없는 실험과 진화가 거듭된 혁신 도시입니다.,"송도는 ""스마트 시티""가 시작된 국내 최초의 도시이며 끊임없는 실험과 진화를 통해 혁신적인 도시입니다.",4.4,4.4
111,klue-sts-v1_train_00111,airbnb-sampled,두오모와 산타 노빌라역 등 모든 관광지와 가깝습니다,아크로 폴리스 및 주요 관광지와 가깝습니다.,1.3,1.3
112,klue-sts-v1_train_00112,airbnb-sampled,발코니쪽 창문은 3개중에 한개만 열수있습니다.,많은 장비를 구매할 필요 없이 즐길 수 있습니다.,0,0
114,klue-sts-v1_train_00114,paraKQC-sampled,사장님과의 약속에 절대로 늦게 가지 말고 미리 가셔야 합니다.,레포트는 늦게 제출하면 점수 다 깎이니까 늦지 않게 내세요.,0.5,0.5
115,klue-sts-v1_train_00115,airbnb-rtt,특히 주방과 편안한 침실 또 한 완벽했습니다,특히 부엌과 편안한 침실은 완벽했습니다.,4.3,4.3
116,klue-sts-v1_train_00116,paraKQC-para,약속을 바꿀 때에는 갑자기 말하지 말고 적어도 하루 전에 공지하세요.,약속을 바꿀거면 당일에 말하지 말고 적어도 하루 전에 알려줘.,3.8,3.8
117,klue-sts-v1_train_00117,airbnb-sampled,계단이랑 문 앞에선 고양이 오줌 냄새가 약간 나요,별류에유 문앞의 의자와 책상  고양이가 너무 귀엽습니다,0.8,0.8
118,klue-sts-v1_train_00118,paraKQC-sampled,약속장소가 어디로 바뀌었습니까?,늦으면 큰일나니까 절대 늦으면 안돼.,0,0
119,klue-sts-v1_train_00119,airbnb-rtt,저희에게 모든 부분에서 완벽했던 숙소였어요.,그것은 모든 면에서 우리에게 완벽한 숙소였습니다.,3.7,3.7
120,klue-sts-v1_train_00120,policy-rtt,이들 사이트들은 한시적으로 5월 말까지 일반 학생들도 스마트폰으로 데이터 사용량에 대한 부담 없이 이용이 가능하도록 ‘제로레이팅(특정사이트 데이터 무과금)’으로 지원한다.,"이들 사이트는 일시적으로 ""제로 레이트""(특정 사이트 데이터의 경우 무료)를 지원하여 5월 말까지 일반 학생들이 데이터 사용에 대한 부담 없이 스마트폰을 사용할 수 있도록 합니다.",4.3,4.3
122,klue-sts-v1_train_00122,airbnb-sampled,"접근성, 숙소내 청결도, 편안함 좋았습니다",숙소는 위치도 청결도도 시설도 아주 좋았습니다.,3.3,3.3
123,klue-sts-v1_train_00123,airbnb-sampled,소품 하나 인테리어 하나 안 예쁜 게 없었습니다!,숙소가 깨끗함은물론 근처 편의점이나 지하철 위치 먹거리 어느하나 불편한게없었습니다,0,0
124,klue-sts-v1_train_00124,airbnb-rtt,호스트는 친절하고 개인실은 편안합니다.,주인은 친절하고 개인실은 편안합니다.,4.5,4.5
125,klue-sts-v1_train_00125,policy-rtt,정 총리는 이날 정부서울청사에서 열린 ‘코로나19 대응 감염병 전문가 간담회’에서 이 같이 말했다.,정은 서울 정부 청사에서 열린 코로나19에 대한 대응으로 전염병 전문가 회의에서 이같이 말했습니다.,3.7,3.7
126,klue-sts-v1_train_00126,airbnb-rtt,인테리어와 주방시설 수납공간 모두 탁월했어요.,내부와 주방 수납공간이 모두 훌륭했습니다.,3,3
127,klue-sts-v1_train_00127,paraKQC-sampled,어디가 바뀐 약속장소지?,나 오늘 뭐 해야하지 오후에?,0,0
128,klue-sts-v1_train_00128,policy-sampled,이달 28일부터 시행되는 자동차관리법 시행령 개정안은 무단 방치 차량의 강제처리 요건인 방치기간을 ‘2개월 이상’으로 특정했다.,지난 11월 15일 세계 최대 규모의 메가 FTA인 ‘RCEP’이 출범했다.,0,0
129,klue-sts-v1_train_00129,airbnb-sampled,덕분에 아주 싼 에스프레소 포터를 구입했어요.,덕분에 최고의 휴가를 보낼 수 있었어요.,0.2,0.2
130,klue-sts-v1_train_00130,policy-sampled,그동안은 도난이나 횡령당한 경우에만 말소등록이 가능했다.,지원금액은 14일 이상 입원 또는 격리된 경우에 4인 가구 기준으로 123만원이다.,0,0
131,klue-sts-v1_train_00131,airbnb-rtt,인원에 제한없이 가격이 동일하다는 것 때문에 가족여행 숙소에 적합했습니다.,인원 제한 없이 가격만 같기 때문에 가족여행 숙소로 적합했습니다.,4.3,4.3
132,klue-sts-v1_train_00132,paraKQC-sampled,우리나라는 작년에 몇 개의 태풍이 왔었나?,지난해 황사가 진행된 일수가 어떻게됩니까?,0.2,0.2
133,klue-sts-v1_train_00133,paraKQC-sampled,미세먼지가 높은 시기에는 운동을 금합니다.,오늘 말고 내일의 황사 지수는 어때?,0.2,0.2
134,klue-sts-v1_train_00134,airbnb-rtt,바르셀에 또 방문한다면 무조건 이 집에서 머물거에요.,"만약 내가 다시 바르셀을 방문한다면, 나는 무슨 일이 있어도 여기에 머무를 것입니다.",3.7,3.7
135,klue-sts-v1_train_00135,paraKQC-sampled,너는 오른쪽하고 왼쪽 중 어느 방향으로 에어컨 바람이 나오는게 나을 것 같아?,국내 방송 모니터링이 먼저야 해외 말고,0,0
136,klue-sts-v1_train_00136,airbnb-sampled,다만 개인 물품이 많아 약간 난감할수도 있긴 합니다.,짐이 많은 장거리 해외 여행객에게는 조금 불편할 수도 있습니다.,1.8,1.8
137,klue-sts-v1_train_00137,paraKQC-sampled,거실하고 안방 불 켜져 있는지 확인해봐,외출시에는 집안모드말고 방범모드를 꼭 확인하도록 협조 바랍니다.,0.4,0.4
138,klue-sts-v1_train_00138,paraKQC-sampled,어떤 원인으로 인해 연구실 메일 서버가 고장났을까?,광고메일 중 와디즈에서 오는 거랑 텀블벅에서 오는거랑 무슨 차이가 있어요?,0,0
139,klue-sts-v1_train_00139,policy-sampled,그동안 여건상 예술인 450여 명이 대상이었지만 올해부터는 800명까지 확대한다.,"배우자 출산 예정일이 동원훈련 기간과 중복되는 경우 종전에는 훈련기간 전·후 14일이 연기처리 대상 기간이었으나, 앞으로는 전·후 21일로 연기 대상기간이 확대된다.",0,0
140,klue-sts-v1_train_00140,airbnb-sampled,침실에 누웠을 때 보이는 도루강 뷰는 정말 좋았어요.,지리적위치와 침대 매트리스는 정말 좋았어요.,0.4,0.4
141,klue-sts-v1_train_00141,paraKQC-para,태풍이 올까? 폭염이 올까?,태풍이 올지 폭염이 올지 알려줄래?,4.1,4.1
142,klue-sts-v1_train_00142,airbnb-sampled,"처음 도착했을 때, 시내는 아니기 때문에 이동할 때 걱정이 될 수 있는데요.",5분거리 마트는 회원전용마트이기 때문에 이용 할 수 없었습니다.,0.3,0.3
143,klue-sts-v1_train_00143,airbnb-rtt,이 가격에 번화가 숙소 구하기는 힘들테니까요.,이 가격으로는 붐비는 숙소를 찾기가 어려울 거예요.,3,3
144,klue-sts-v1_train_00144,paraKQC-para,열대야와 높은 습도 중 싫어하는 것은 어떤 것인가요?,열대야와 높은 습도 중 싫어하는 것이 뭐야?,4.3,4.3
145,klue-sts-v1_train_00145,airbnb-rtt,숙소근처에 음식점 쇼핑몰 편의점 등이 있습니다.,"숙소 근처에는 식당, 쇼핑몰, 편의점이 있습니다.",4.8,4.8
148,klue-sts-v1_train_00148,airbnb-sampled,특히 할아버지 너무너무 스윗하시고 친절하세요!,그리고 주인 할아버지께서 너무너무 친절하시고 응답도 빠르세요!,3.2,2.5
149,klue-sts-v1_train_00149,airbnb-rtt,호스트도 매우 친절하고 무엇보다 방이 매우 깨끗해요.,주인은 매우 친절하고 무엇보다도 방이 매우 깨끗합니다.,4.7,4.7
